Date Count
2019-01-01 858
2019-01-02 1126
2019-01-03 1150
2019-01-04 1151
2019-01-05 1662
2019-01-06 1505
2019-01-07 1349
2019-01-08 1349
2019-01-09 1857
2019-01-10 1076
2019-01-11 1424
2019-01-12 1477
2019-01-13 1574
2019-01-14 2005
2019-01-15 998
2019-01-16 1063
2019-01-17 1124
2019-01-18 2013
2019-01-19 1428
2019-01-20 1295
2019-01-21 1369
2019-01-22 1292
2019-01-23 1084
2019-01-24 1433
2019-01-25 2130
2019-01-26 1244
2019-01-27 1142
2019-01-28 1624
2019-01-29 1131
2019-01-30 766
2019-01-31 867
2019-02-01 757
2019-02-02 1333
2019-02-03 1439
2019-02-04 1746
2019-02-05 1406
2019-02-06 1681
2019-02-07 1123
2019-02-08 1503
2019-02-09 1058
2019-02-10 1617
2019-02-11 1348
2019-02-12 1353
2019-02-13 965
2019-02-14 804
2019-02-15 804
2019-02-16 701
2019-02-17 954
2019-02-18 681
2019-02-19 639
2019-02-20 742
2019-02-21 620
2019-02-22 973
2019-02-23 899
2019-02-24 715
2019-02-25 891
2019-02-26 1036
2019-02-27 754
2019-02-28 1208
2019-03-01 1582
2019-03-02 1047
2019-03-03 863
2019-03-04 503
2019-03-05 450
2019-03-06 510
2019-03-07 563
2019-03-08 650
2019-03-09 479
2019-03-10 438
2019-03-11 1687
2019-03-12 1016
2019-03-13 358
2019-03-14 367
2019-03-15 478
2019-03-16 767
2019-03-17 662
2019-03-18 405
2019-03-19 184
2019-03-20 319
2019-03-21 509
2019-03-22 404
2019-03-23 447
2019-03-24 554
2019-03-25 437
2019-03-26 447
2019-03-27 393
2019-03-28 509
2019-03-29 270
2019-03-30 413
2019-03-31 643
2019-04-01 280
2019-04-02 292
2019-04-03 415
2019-04-04 354
2019-04-05 319
2019-04-06 250
2019-04-07 270
2019-04-08 457
2019-04-09 611
2019-04-10 725
2019-04-11 346
2019-04-12 311
2019-04-13 452
2019-04-14 445
2019-04-15 402
2019-04-16 288
2019-04-17 378
2019-04-18 260
2019-04-19 272
2019-04-20 225
2019-04-21 335
2019-04-22 273
2019-04-23 276
2019-04-24 376
2019-04-25 261
2019-04-26 233
2019-04-27 213
2019-04-28 238
2019-04-29 249
2019-04-30 255
2019-05-01 228
2019-05-02 261
2019-05-03 214
2019-05-04 202
2019-05-05 418
2019-05-06 354
2019-05-07 491
2019-05-08 229
2019-05-09 211
2019-05-10 242
2019-05-11 329
2019-05-12 300
2019-05-13 441
2019-05-14 172
2019-05-15 401
2019-05-16 243
2019-05-17 189
2019-05-18 259
2019-05-19 104
